"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.959655747E0,-1.115112100E-2,-6.321221590E-3,2.191925049E-2
2.979653279E0,-8.486333303E-3,6.635487080E-4,2.670860291E-2
2.999650745E0,3.701329697E-3,3.204666078E-3,4.107379913E-2
3.019648144E0,3.723352216E-3,-6.205096841E-3,3.389072418E-2
3.039645610E0,-1.072534942E-3,1.171760261E-3,2.670669556E-2
3.059643076E0,6.490061060E-3,-3.755286336E-3,4.107284546E-2
3.079640542E0,-1.118541788E-2,-3.386959434E-3,2.431201935E-2
3.099637941E0,8.099967381E-4,8.321575820E-3,3.628444672E-2
3.119635873E0,1.262729429E-2,8.357506245E-3,3.628444672E-2
3.139633339E0,1.266541146E-2,-5.909599364E-3,1.952457428E-2
3.159817131E0,2.696230542E-3,1.094672456E-2,3.867816925E-2
3.179814430E0,-5.030911416E-3,3.466054797E-3,3.389072418E-2
3.199811962E0,1.425880659E-2,5.948670208E-3,2.431297302E-2
3.219809494E0,-2.867553616E-3,2.957832068E-3,3.868103027E-2
3.239806960E0,-7.853247225E-3,-1.888941228E-2,3.628826141E-2
3.259804492E0,-5.727454089E-3,5.570624024E-3,3.628540039E-2
3.279801958E0,-1.030733809E-2,-1.618333161E-3,2.192020416E-2
3.299799490E0,2.374602016E-3,1.028239727E-2,3.149700165E-2
3.319797022E0,-9.637914598E-3,-4.098672420E-3,2.192020416E-2
3.339794554E0,3.425970674E-3,5.213856697E-3,2.431583405E-2
3.359792087E0,8.217259310E-4,1.721910015E-2,2.670955658E-2
3.379789753E0,-1.410149969E-3,-2.192772925E-3,3.868198395E-2
3.399787553E0,-1.380883856E-3,-4.613742232E-3,4.107666016E-2
3.419785252E0,1.504931878E-2,-1.940310001E-3,2.670955658E-2
3.439782984E0,-1.819653064E-2,-1.860675961E-2,4.107570648E-2
3.459780716E0,1.637297496E-2,-6.110522896E-3,2.670669556E-2
3.479778682E0,-7.600564510E-3,-1.239825040E-3,3.149604797E-2
3.499776348E0,-5.143175949E-4,-1.257326454E-3,2.191829681E-2
3.519774014E0,3.882540623E-3,6.021879613E-3,3.388977051E-2
3.539771746E0,-1.516790316E-2,-7.770877331E-3,2.191543579E-2
3.559769478E0,-3.397076856E-3,1.965254545E-3,2.670288086E-2
3.579767210E0,1.894080546E-3,3.920309246E-3,2.431106567E-2
3.599764876E0,1.619203016E-2,9.039398283E-3,3.388690948E-2
3.619762608E0,4.022615962E-3,-2.828374505E-3,2.670288086E-2
3.639760274E0,8.139980957E-3,8.535061032E-3,2.191829681E-2
3.659757873E0,5.612185691E-3,-2.273426764E-2,1.952457428E-2
3.679755406E0,8.026533760E-3,8.961077780E-3,3.388786316E-2
3.699752872E0,-1.413800870E-3,-1.050720736E-2,3.388786316E-2
3.719750338E0,3.662906587E-3,-2.869524062E-3,3.867530823E-2
3.739747771E0,-2.050527744E-2,-7.473677397E-4,3.388786316E-2
3.759745303E0,-5.516232457E-3,-1.507588476E-2,9.944915771E-3
3.779742769E0,2.198240720E-3,9.122658521E-3,3.149318695E-2
3.799740301E0,5.373797379E-3,1.140733063E-2,2.909946442E-2
3.819737833E0,-4.599711392E-3,-5.145315081E-3,3.149223328E-2
3.839735365E0,-2.833309956E-2,4.397947341E-3,3.628063202E-2
3.859732831E0,8.365649730E-3,-4.997204989E-3,4.106807709E-2
3.879730297E0,-8.416787721E-3,2.120022103E-2,2.909755707E-2
3.899727829E0,1.127812197E-3,1.434158534E-3,3.628349304E-2
3.919725295E0,1.573132537E-2,-6.183899939E-3,4.346752167E-2
3.939722827E0,3.309597261E-3,-1.595825329E-2,3.389072418E-2
3.959720359E0,-1.449481933E-3,7.957834750E-3,2.431392670E-2
3.979717891E0,8.264743723E-3,3.202185035E-3,3.628540039E-2
3.999715357E0,-6.178880576E-3,-1.728061587E-3,3.868007660E-2
4.019712823E0,3.296016250E-3,-1.115631685E-2,3.628540039E-2
4.039710322E0,-1.568089705E-3,8.175455034E-3,2.431392670E-2
4.059707788E0,7.785169873E-3,1.039799303E-3,4.107284546E-2
4.079705254E0,-3.532400588E-3,-3.793690354E-3,2.191829681E-2
4.099702653E0,-3.156705992E-3,-1.052320004E-3,3.628444672E-2
4.119700119E0,8.646471426E-3,1.575684920E-2,3.149509430E-2
4.139697518E0,-1.062093209E-2,1.442492008E-3,1.712799072E-2
4.159694984E0,-9.628823027E-4,6.289556623E-3,4.107093811E-2
4.179692516E0,-3.328349907E-3,1.583997533E-2,2.670574188E-2
4.199690048E0,-1.517429389E-2,-5.717668682E-3,1.952362061E-2
4.219687580E0,2.598759253E-3,3.855649382E-3,2.191734314E-2
4.239685046E0,1.032382250E-2,-8.511804044E-3,3.389072418E-2
4.259682578E0,5.391227081E-3,3.620754927E-3,3.628444672E-2
4.279680044E0,1.240253821E-2,1.056123525E-2,3.149700165E-2
4.299677576E0,2.844173927E-3,-6.322897971E-3,2.670764923E-2
4.319675108E0,-5.151029676E-3,-1.331405155E-2,1.713085175E-2
4.339672640E0,6.712418050E-3,-1.402217895E-3,2.670764923E-2
4.359670106E0,6.669444963E-3,-1.093929261E-2,3.149604797E-2
4.379667572E0,3.993266262E-3,1.515123621E-2,3.149700165E-2
4.399665138E0,-3.271659371E-3,9.957171977E-3,3.149890900E-2
4.419662871E0,-8.356631733E-4,-7.162019610E-3,3.149986267E-2
4.439660803E0,-3.396162530E-3,2.408817410E-3,4.107666016E-2
4.459658769E0,-1.043297723E-2,7.355503738E-3,1.713371277E-2
4.479656835E0,-1.171960030E-2,5.030468106E-3,3.149986267E-2
4.499654901E0,-1.769675640E-3,1.466313377E-2,1.473903656E-2
4.519652967E0,6.294753402E-4,-9.043503553E-3,3.868103027E-2
4.539651099E0,-1.443620771E-3,8.509680629E-4,2.670764923E-2
4.559649231E0,8.259698749E-3,3.583021462E-3,3.867816925E-2
4.579647363E0,5.951873958E-3,-1.565118134E-2,2.431392670E-2
4.599645429E0,3.361191601E-3,-3.256924450E-3,3.628349304E-2
4.619643561E0,1.098790439E-3,6.491608918E-3,1.712799072E-2
4.639641627E0,-1.165782101E-3,1.929927617E-3,1.952171326E-2
4.659639693E0,-5.752738100E-3,6.531726569E-3,1.233959198E-2
4.679637825E0,-3.286628518E-3,1.676473767E-3,2.670478821E-2
4.699635924E0,-7.820459083E-3,-5.635578185E-3,1.952457428E-2
4.719633790E0,-3.010227345E-3,-1.025679335E-2,3.628253937E-2
4.739631456E0,-9.264559485E-4,-2.918977290E-3,3.628253937E-2
4.759629089E0,1.075941510E-2,6.869461387E-3,3.149318695E-2
4.779626555E0,-1.257196069E-3,-2.178773284E-4,3.388595581E-2
4.799624021E0,-1.766313333E-3,-2.353664488E-3,2.909660339E-2
4.819621487E0,-3.617793322E-3,-6.816580892E-3,2.909660339E-2
4.839618953E0,1.298075635E-2,-1.893278211E-2,2.909660339E-2
4.859616352E0,5.927636288E-3,1.446702331E-2,3.388500214E-2
4.879613818E0,-5.791216157E-3,1.199892908E-2,4.585647583E-2
4.899611350E0,-1.149630174E-3,-8.522160351E-4,3.149509430E-2
4.919608816E0,-8.385944180E-3,8.667334914E-3,2.670669556E-2
4.939606348E0,5.875370931E-3,-1.103202626E-2,2.191925049E-2
4.959603880E0,3.314867150E-3,3.327425569E-3,3.149700165E-2
4.979601412E0,1.727475226E-2,3.062445670E-3,3.149795532E-2
4.999598878E0,-1.015234645E-2,-2.266563475E-3,2.910518646E-2
5.019596344E0,1.840596669E-3,-1.407061704E-2,3.149986267E-2
5.039593876E0,-1.010084897E-2,-1.375027560E-2,3.628730774E-2
5.059591408E0,-2.979645971E-3,3.548592329E-3,2.431297302E-2
5.079588940E0,-5.420924630E-3,6.093785167E-3,3.628444672E-2
5.099586406E0,1.318896073E-3,-7.941517979E-3,2.191638947E-2
5.119583938E0,-1.323061716E-2,1.407192275E-2,1.712608337E-2
5.139581404E0,9.021399310E-4,-4.785668105E-3,3.149127960E-2
5.159578870E0,6.326730363E-4,2.567440271E-3,3.149127960E-2
5.179576336E0,7.613546215E-3,3.128886223E-3,3.148841858E-2
5.199573802E0,1.258678921E-2,-4.171911627E-3,4.106616974E-2
5.219571268E0,-4.329144955E-3,1.267933100E-2,2.669906616E-2
5.239568667E0,5.975217791E-4,1.507878676E-2,3.867053986E-2
5.259566133E0,3.144077200E-4,-8.708052337E-3,3.388214111E-2
5.279563599E0,-6.972430740E-3,5.834136158E-3,3.148746490E-2
5.299561131E0,2.616921673E-3,1.305906102E-2,4.106426239E-2
5.319558663E0,-6.760983262E-3,5.744889379E-3,3.388214111E-2
5.339556195E0,-4.696849268E-3,-3.900073469E-3,2.430534363E-2
5.359553661E0,-1.510247093E-4,-1.809439063E-2,2.669811249E-2
5.379551127E0,-1.700954512E-2,2.025192231E-2,1.951599121E-2
5.399548659E0,-7.355867885E-3,1.267157495E-3,2.909183502E-2
5.419546125E0,-7.390357088E-3,7.107444108E-4,2.430534363E-2
5.439543657E0,-2.459931886E-3,1.499839872E-2,2.430629730E-2
5.459541189E0,-4.137518816E-3,-7.161617279E-3,4.346179962E-2
5.479538721E0,7.303087623E-4,2.168368921E-2,3.388500214E-2
5.499536254E0,-6.739854813E-3,1.162396371E-2,3.149223328E-2
5.519533920E0,-6.926496513E-3,6.259400398E-3,2.431201935E-2
5.539531720E0,-4.278450273E-3,-3.419216722E-3,3.149509430E-2
5.559529520E0,-6.957539357E-3,8.735805750E-3,3.628253937E-2
5.579527252E0,1.473271847E-2,-1.049638167E-2,2.909946442E-2
5.599524918E0,-1.619607955E-2,1.097621396E-2,3.628349304E-2
5.619522650E0,-6.123575848E-3,1.032861695E-2,3.149700165E-2
5.639520316E0,-1.071810536E-2,-4.404474050E-3,4.586410522E-2
5.659518048E0,-4.983009305E-3,-1.203760505E-2,3.150081635E-2
5.679515780E0,1.730217226E-2,-7.290896028E-3,3.629016876E-2
5.699513512E0,6.071035750E-4,6.827399135E-3,3.629016876E-2
5.719511244E0,2.960539423E-3,6.811991334E-3,3.868484497E-2
5.739508910E0,7.055818569E-4,-4.807211459E-3,3.389453888E-2
