"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.311314452E0,1.040303498E-3,-1.384831499E-3,-7.513642049E-5
2.321314782E0,1.040303498E-3,1.669494784E-3,1.757459249E-3
2.333314212E0,-1.403157483E-3,-7.739662542E-4,1.146594062E-3
2.345313810E0,-1.814269781E-4,-2.606561873E-3,1.146594062E-3
2.357313006E0,4.294382525E-4,-7.739662542E-4,-6.860016729E-4
2.369312537E0,-1.814269781E-4,4.477642069E-4,5.357288173E-4
2.381310135E0,1.040303498E-3,-3.217427293E-3,-7.513642049E-5
2.393308868E0,-2.624887973E-3,-1.384831499E-3,1.146594062E-3
2.405307266E0,-7.922922377E-4,4.477642069E-4,-6.860016729E-4
2.417305164E0,-1.814269781E-4,1.669494784E-3,-1.907732105E-3
2.429303629E0,-7.922922377E-4,1.058629481E-3,-7.513642049E-5
2.441303027E0,1.651168684E-3,1.058629481E-3,5.357288173E-4
2.453301258E0,-1.403157483E-3,1.058629481E-3,-7.513642049E-5
2.465299690E0,1.040303498E-3,2.280360088E-3,5.357288173E-4
2.477298789E0,-1.814269781E-4,-7.739662542E-4,-1.907732105E-3
2.489297254E0,-1.403157483E-3,4.477642069E-4,-6.860016729E-4
2.501295619E0,-1.814269781E-4,1.058629481E-3,-1.296866918E-3
2.513294250E0,-7.922922377E-4,-1.631010236E-4,-1.296866918E-3
2.525292915E0,1.651168684E-3,1.058629481E-3,-1.907732105E-3
2.537291380E0,4.294382525E-4,-1.384831499E-3,-7.513642049E-5
2.549290412E0,1.040303498E-3,-1.631010236E-4,-7.513642049E-5
2.561287577E0,-1.814269781E-4,1.058629481E-3,1.146594062E-3
2.573286042E0,1.040303498E-3,-7.739662542E-4,5.357288173E-4
2.585284340E0,-1.403157483E-3,-4.439157899E-3,5.357288173E-4
2.597282439E0,-7.922922377E-4,-2.606561873E-3,-7.513642049E-5
2.609280570E0,-7.922922377E-4,4.477642069E-4,-1.296866918E-3
2.621279968E0,-7.922922377E-4,-2.606561873E-3,-6.860016729E-4
2.633278000E0,2.262033988E-3,4.477642069E-4,-6.860016729E-4
2.645276865E0,-7.922922377E-4,2.280360088E-3,-7.513642049E-5
2.657275230E0,-7.922922377E-4,-1.384831499E-3,5.357288173E-4
2.669273395E0,4.294382525E-4,-1.384831499E-3,5.357288173E-4
2.681270893E0,1.040303498E-3,2.891225042E-3,-6.860016729E-4
2.693269858E0,-7.922922377E-4,-1.631010236E-4,2.979189856E-3
2.705267990E0,4.294382525E-4,-1.995696686E-3,-7.513642049E-5
2.717267054E0,4.294382525E-4,4.477642069E-4,5.357288173E-4
2.729265784E0,4.294382525E-4,1.058629481E-3,1.146594062E-3
2.741264881E0,4.294382525E-4,1.058629481E-3,-7.513642049E-5
2.753263511E0,2.872899408E-3,1.058629481E-3,-1.296866918E-3
2.765262107E0,-2.014022786E-3,-1.384831499E-3,2.368324436E-3
2.777260572E0,-2.624887973E-3,1.058629481E-3,5.357288173E-4
2.789259037E0,4.294382525E-4,-2.606561873E-3,5.357288173E-4
2.801258369E0,-7.922922377E-4,-1.631010236E-4,5.357288173E-4
2.813256401E0,1.040303498E-3,4.477642069E-4,-6.860016729E-4
2.825254799E0,1.651168684E-3,3.502090462E-3,1.757459249E-3
2.837252897E0,1.040303498E-3,-7.739662542E-4,-7.513642049E-5
2.849251362E0,1.040303498E-3,-1.995696686E-3,5.357288173E-4
2.861249794E0,4.294382525E-4,4.477642069E-4,-7.513642049E-5
2.873248558E0,-7.922922377E-4,4.477642069E-4,-6.860016729E-4
2.885247090E0,-2.014022786E-3,-2.606561873E-3,-1.296866918E-3
2.897246122E0,4.294382525E-4,1.058629481E-3,-6.860016729E-4
2.909244154E0,-1.403157483E-3,1.058629481E-3,5.357288173E-4
2.921241785E0,1.040303498E-3,1.058629481E-3,-7.513642049E-5
2.933240017E0,-1.814269781E-4,1.058629481E-3,-7.513642049E-5
2.945239382E0,-7.922922377E-4,1.669494784E-3,-6.860016729E-4
2.957237714E0,1.040303498E-3,1.669494784E-3,-1.907732105E-3
2.969236612E0,2.262033988E-3,1.669494784E-3,1.146594062E-3
2.981235110E0,-7.922922377E-4,-1.384831499E-3,-7.513642049E-5
2.993234075E0,4.294382525E-4,-1.384831499E-3,2.368324436E-3
3.005231640E0,-7.922922377E-4,-7.739662542E-4,5.357288173E-4
3.017230105E0,-1.403157483E-3,-7.739662542E-4,-1.296866918E-3
