"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.437828675E0,5.099805593E-1,-5.051919818E-1,9.826104164E0
1.449828039E0,5.435003638E-1,-4.884320498E-1,9.845257759E0
1.461826504E0,4.884320498E-1,-4.884320498E-1,9.845257759E0
1.473825036E0,4.788549542E-1,-4.956148863E-1,9.862017632E0
1.485823434E0,5.051919818E-1,-4.884320498E-1,9.838075638E0
1.497821966E0,4.692778587E-1,-4.860377908E-1,9.835680962E0
1.509819898E0,4.740664065E-1,-4.740664065E-1,9.857229233E0
1.521818363E0,4.740664065E-1,-4.716721475E-1,9.850046158E0
1.533816328E0,4.908263385E-1,-4.836435020E-1,9.830892563E0
1.545814525E0,4.740664065E-1,-5.051919818E-1,9.830892563E0
1.557813188E0,5.171633363E-1,-4.836435020E-1,9.835680962E0
1.569811585E0,5.315290093E-1,-4.477293789E-1,9.845257759E0
1.581810248E0,5.123748183E-1,-5.099805593E-1,9.830892563E0
1.593809278E0,4.956148863E-1,-5.171633363E-1,9.850046158E0
1.605808209E0,5.075862408E-1,-5.099805593E-1,9.840469360E0
1.617806674E0,4.980091453E-1,-4.836435020E-1,9.854835510E0
1.629805739E0,4.812492430E-1,-4.620950520E-1,9.862017632E0
1.641804037E0,4.716721475E-1,-5.267404318E-1,9.833286285E0
1.653802569E0,4.549122155E-1,-5.099805593E-1,9.845257759E0
1.665800601E0,4.453351200E-1,-4.908263385E-1,9.842864037E0
1.677799933E0,5.099805593E-1,-4.453351200E-1,9.871595383E0
1.689798998E0,4.860377908E-1,-4.932205975E-1,9.830892563E0
1.701797396E0,4.405465722E-1,-4.956148863E-1,9.826104164E0
1.713795861E0,5.075862408E-1,-4.860377908E-1,9.830892563E0
1.725794826E0,5.219519138E-1,-5.004034638E-1,9.809344292E0
1.737792424E0,4.980091453E-1,-4.884320498E-1,9.840469360E0
1.749789889E0,5.123748183E-1,-5.075862408E-1,9.809344292E0
1.761788521E0,5.506832004E-1,-5.219519138E-1,9.840469360E0
1.773786986E0,4.836435020E-1,-5.051919818E-1,9.859623909E0
1.785785018E0,4.740664065E-1,-4.980091453E-1,9.842864037E0
1.797783416E0,5.051919818E-1,-4.764606953E-1,9.835680962E0
1.809781281E0,4.812492430E-1,-5.075862408E-1,9.833286285E0
1.821780180E0,4.501236677E-1,-5.099805593E-1,9.835680962E0
1.833778645E0,4.597007632E-1,-4.932205975E-1,9.833286285E0
1.845777476E0,5.004034638E-1,-4.644893110E-1,9.840469360E0
1.857775941E0,4.692778587E-1,-4.908263385E-1,9.859623909E0
1.869775672E0,4.597007632E-1,-5.075862408E-1,9.823709488E0
1.881773337E0,4.620950520E-1,-4.980091453E-1,9.811738014E0
1.893771802E0,5.147690773E-1,-4.692778587E-1,9.845257759E0
1.905770267E0,5.123748183E-1,-4.836435020E-1,9.826104164E0
1.917768732E0,4.860377908E-1,-5.004034638E-1,9.840469360E0
1.929766297E0,4.740664065E-1,-5.458946824E-1,9.814132690E0
1.941766428E0,5.458946824E-1,-4.932205975E-1,9.857229233E0
1.953765024E0,5.099805593E-1,-4.812492430E-1,9.811738014E0
1.965763888E0,4.573064744E-1,-4.956148863E-1,9.818921089E0
1.977762852E0,4.549122155E-1,-5.123748183E-1,9.818921089E0
1.989762482E0,5.075862408E-1,-5.147690773E-1,9.840469360E0
2.001759845E0,4.740664065E-1,-4.740664065E-1,9.830892563E0
2.013758310E0,3.591412306E-1,-5.315290093E-1,9.787795067E0
2.025756108E0,4.620950520E-1,-4.573064744E-1,9.945817947E0
2.037755173E0,5.243461728E-1,-5.387118459E-1,9.850046158E0
2.049753005E0,4.956148863E-1,-5.099805593E-1,9.785401344E0
2.061751037E0,4.620950520E-1,-4.549122155E-1,9.830892563E0
2.073749569E0,5.075862408E-1,-5.147690773E-1,9.816526413E0
2.085748501E0,5.530774593E-1,-4.956148863E-1,9.845257759E0
2.097746733E0,5.339232683E-1,-5.363175869E-1,9.792584419E0
2.109745797E0,6.584255695E-1,-4.501236677E-1,9.854835510E0
2.121744695E0,5.770202279E-1,-4.884320498E-1,9.809344292E0
2.133743160E0,4.980091453E-1,-4.668835998E-1,9.804554939E0
2.145741692E0,5.075862408E-1,-5.123748183E-1,9.804554939E0
2.157739223E0,6.081457734E-1,-4.764606953E-1,9.802161217E0
2.169737821E0,6.799740195E-1,-4.094209969E-1,9.835680962E0
2.181736286E0,6.081457734E-1,-4.788549542E-1,9.756669998E0
2.193734951E0,5.027977228E-1,-5.004034638E-1,9.840469360E0
2.205733249E0,4.261809289E-1,-5.985686779E-1,9.871595383E0
2.217731679E0,5.387118459E-1,-6.344828010E-1,9.900326729E0
2.229730476E0,5.722316504E-1,-6.536370516E-1,9.878777504E0
2.241729873E0,5.506832004E-1,-6.081457734E-1,9.871595383E0
2.253729338E0,6.751855016E-1,-5.411061049E-1,9.905115128E0
2.265729234E0,6.320885420E-1,-5.387118459E-1,9.816526413E0
2.275729565E0,5.698373914E-1,-5.387118459E-1,9.768641472E0
2.285730162E0,5.506832004E-1,-5.123748183E-1,9.754275322E0
2.297729760E0,6.392713785E-1,-4.501236677E-1,9.783006668E0
