"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.549002047E0,-2.115842402E-1,2.880979180E-1,1.519575119E-1
3.559002047E0,-5.729377270E-2,2.102280855E-1,1.583919525E-1
3.569002613E0,-9.173977375E-2,1.192455888E-1,3.471031189E-1
3.579002613E0,-2.585112751E-1,-2.521693707E-3,2.849149704E-1
3.589002613E0,-5.095909238E-1,-1.530906856E-1,3.499746323E-1
3.599002613E0,-6.518711448E-1,-1.972339749E-1,3.362236023E-1
3.609002613E0,-5.667749643E-1,-1.837992668E-2,1.468658447E-3
3.619002613E0,-2.051085830E-1,8.367347717E-2,-1.399526596E-1
3.629002613E0,2.349364758E-2,3.270870447E-2,4.378128052E-2
3.639002613E0,1.703475118E-1,-7.202443480E-2,6.697368622E-2
3.649002613E0,2.081365585E-1,-2.457010746E-2,1.594696045E-1
3.659002613E0,2.055553794E-1,5.730509758E-3,3.359880447E-1
3.669003079E0,1.443032622E-1,5.518150330E-2,2.089176178E-1
3.679003079E0,1.320904493E-2,1.441914439E-1,-4.489612579E-2
3.689003079E0,-1.557224989E-2,4.793208838E-2,-4.939174652E-2
3.699003079E0,-1.692634821E-2,-2.199304104E-1,1.211862564E-1
3.709003079E0,-2.104542255E-1,-2.589330971E-1,-1.075601578E-1
3.729002612E0,-5.223259926E-1,-5.274742842E-2,-9.890251160E-1
3.739002612E0,-5.176316500E-1,-2.605764866E-1,-1.225287437E0
3.749002612E0,-4.155836105E-1,-7.294671535E-1,-8.179483414E-1
3.759002612E0,-4.262530208E-1,-1.058331490E0,-9.645643234E-1
3.769002612E0,-3.862286806E-1,-8.247247934E-1,-1.387241364E0
3.779002612E0,-3.010954261E-1,-5.561109781E-1,-1.683606148E0
3.789002612E0,-3.192666173E-1,-4.817911088E-1,-1.704573631E0
3.799002612E0,-4.643670619E-1,-5.561649799E-1,-1.287014008E0
3.809002612E0,-6.620841026E-1,-6.439223289E-1,-8.467721939E-1
3.819002612E0,-1.039178610E0,-5.271824598E-1,-6.791992188E-1
3.829002612E0,-1.000048876E0,-2.606084347E-1,-5.788373947E-1
3.839002612E0,-3.980456889E-1,8.502882719E-2,-4.114828110E-1
3.849002612E0,1.547710896E-1,1.212303042E-1,-4.570198059E-1
3.859002612E0,3.640816808E-1,-1.286721230E-1,-4.613571167E-1
3.879002045E0,-6.820267439E-1,-2.321828008E-1,-2.898330688E-1
3.889002045E0,-1.191621065E0,-1.856399775E-1,-1.236915588E-1
3.899002045E0,-1.577831149E0,2.114570141E-1,-1.549911499E-2
3.909002511E0,-1.442883968E0,4.844971895E-1,2.225885391E-1
3.919002977E0,-1.056666374E0,6.372174621E-1,5.416154861E-1
3.929002977E0,-9.578613639E-1,5.190063119E-1,4.642982483E-1
3.939002977E0,-4.098327756E-1,7.746130228E-2,2.908697128E-1
3.949002977E0,-2.322355509E-1,-2.390432358E-1,1.604747772E-1
3.959002977E0,-3.820035458E-1,-4.672719240E-1,-3.594446182E-1
