"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.380005166E0,1.080025733E-2,4.082359374E-4,-1.792907715E-3
1.390005166E0,1.797010377E-2,-1.394258440E-2,-1.855373383E-2
1.400005166E0,5.636483431E-3,5.440048873E-3,-8.978843689E-3
1.410005166E0,-1.900136471E-3,7.965326309E-3,-1.377010345E-2
1.420005166E0,-4.307553172E-3,-6.385724992E-3,-6.587982178E-3
1.430005166E0,1.973768696E-2,2.243718132E-2,5.950927734E-4
1.440005166E0,4.814125597E-3,6.005764008E-4,-6.590843201E-3
1.450005166E0,-1.000551879E-2,2.825893462E-3,-1.804351807E-3
1.460005166E0,-2.778619528E-3,-4.317406565E-3,-1.804351807E-3
1.470005166E0,-1.036617905E-2,1.884885132E-4,-2.095985413E-2
1.480005166E0,9.158551693E-3,-2.647497132E-2,-4.197120667E-3
1.490005166E0,-1.716506481E-2,1.231876761E-2,1.256179810E-2
1.500005166E0,1.910805702E-3,-9.141761810E-3,-4.199028015E-3
1.510005166E0,1.897834241E-3,-2.109832130E-2,-6.593704224E-3
1.520005666E0,1.643617824E-2,3.445908427E-3,-4.199981689E-3
1.530005666E0,6.577886641E-3,1.106137410E-2,-1.138591766E-2
1.540006166E0,-1.260235906E-2,3.907989711E-3,7.767677307E-3
1.550006166E0,8.936084807E-3,1.116079837E-2,-4.204750061E-3
1.560006166E0,4.253111780E-3,1.730762422E-3,2.979278564E-3
1.580005666E0,1.770631596E-2,-5.872759968E-3,-1.378536224E-2
1.590005666E0,-1.887843013E-3,1.096736640E-2,-2.336597443E-2
1.600005666E0,-1.376467943E-2,-3.445297480E-3,-1.817703247E-3
1.610005666E0,6.480365992E-4,2.059223875E-2,5.779266357E-4
1.630005199E0,7.947161794E-4,1.040973887E-2,-4.207611084E-3
1.640005199E0,-6.357684731E-3,7.569227368E-3,5.826950073E-4
1.650005199E0,3.280729055E-3,1.675395295E-2,-1.138782501E-2
1.660005199E0,9.452328086E-4,-3.084272146E-3,-4.200935364E-3
1.670005199E0,-1.812600344E-2,-1.194316894E-3,-1.138210297E-2
1.680005199E0,-3.786489367E-3,-3.559339792E-3,-8.987426758E-3
1.690005199E0,9.860917926E-4,1.555440575E-2,-6.593704224E-3
1.700005199E0,-1.318124682E-2,5.549646914E-3,-1.802444458E-3
1.710005199E0,-3.291942179E-3,-6.800208241E-3,-1.798629761E-3
1.720005199E0,-1.535270363E-2,2.763122320E-4,7.779121399E-3
1.730005199E0,6.699398160E-3,2.164341137E-2,1.735973358E-2
1.740005199E0,-6.203353405E-4,2.524681389E-3,-1.795768738E-3
1.750005199E0,1.139327884E-2,2.536177635E-3,-1.855564117E-2
1.760005199E0,-7.786959410E-3,2.565618604E-3,-4.189491272E-3
1.770005665E0,1.142109185E-2,1.404695213E-4,-6.584167480E-3
1.780005665E0,-2.938076854E-3,9.092107415E-3,1.017856598E-2
1.790005665E0,1.798003912E-3,3.862209618E-3,-1.791000366E-3
1.800005665E0,9.023159742E-3,1.479379833E-3,6.036758423E-4
1.810005665E0,-1.514679939E-2,-1.800935343E-2,-1.136875153E-2
1.830005165E0,6.303466856E-3,-3.415815532E-3,6.017684937E-4
1.850004665E0,-8.237816393E-3,1.631814614E-2,2.992630005E-3
1.860004665E0,-3.444492817E-3,-1.472415216E-2,-4.190444946E-3
1.870004665E0,1.094741374E-2,-3.876350820E-4,1.256942749E-2
1.880004665E0,3.803797066E-3,-5.220048130E-3,5.989074707E-4
