"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.919203890E-1,2.426515520E-1,2.280219495E-1,1.610307992E-1,3.698711984E-1
3.939201550E-1,2.463167459E-1,2.243567556E-1,1.543112844E-1,3.671782477E-1
3.959199210E-1,2.621992528E-1,2.261893451E-1,1.433157027E-1,3.747658718E-1
3.979201540E-1,2.713622153E-1,2.237458974E-1,1.298766583E-1,3.749234920E-1
3.999199200E-1,2.750273943E-1,2.206915617E-1,1.274332106E-1,3.749454043E-1
4.019196200E-1,2.860229909E-1,2.127503157E-1,1.158267707E-1,3.748168739E-1
4.039193860E-1,2.921316624E-1,1.925917715E-1,1.066637859E-1,3.658000298E-1
4.059191520E-1,2.964076698E-1,1.767092645E-1,1.042203307E-1,3.604796086E-1
4.079189180E-1,2.988511622E-1,1.583832949E-1,9.322475642E-2,3.508391946E-1
4.099186840E-1,3.031272292E-1,1.492203325E-1,9.322475642E-2,3.504906275E-1
4.119184840E-1,3.074032664E-1,1.302835047E-1,8.467264473E-2,3.444416011E-1
4.139182840E-1,3.074032664E-1,1.107358187E-1,8.222918212E-2,3.369285208E-1
4.159180170E-1,3.110684454E-1,1.009619758E-1,7.978571951E-2,3.366343110E-1
4.179177500E-1,3.092358708E-1,8.630120754E-2,7.734226435E-2,3.302371089E-1
4.199174830E-1,3.092358708E-1,6.431005895E-2,7.856398821E-2,3.254764319E-1
4.219162490E-1,3.074032664E-1,4.537323862E-2,8.528351039E-2,3.222247292E-1
4.239159820E-1,3.074032664E-1,4.292977601E-2,8.650524169E-2,3.222155966E-1
4.259157150E-1,3.061815500E-1,2.338209003E-2,9.017043561E-2,3.200383901E-1
4.279155150E-1,3.049598038E-1,1.605170593E-2,9.322475642E-2,3.192945261E-1
4.299152480E-1,3.061815500E-1,-4.416555748E-4,9.750081599E-2,3.213312088E-1
4.319149810E-1,3.049598038E-1,-7.161173504E-3,1.036094651E-1,3.221594102E-1
4.339147140E-1,3.074032664E-1,-1.326982584E-2,1.042203307E-1,3.248610993E-1
4.359144470E-1,3.074032664E-1,-2.121107467E-2,1.084963828E-1,3.266774296E-1
4.379137470E-1,3.122901917E-1,-2.854145691E-2,1.091072559E-1,3.320303779E-1
4.399134800E-1,3.135119379E-1,-3.098491952E-2,1.121615767E-1,3.344099576E-1
4.419135800E-1,3.202314377E-1,-3.953703493E-2,1.103289798E-1,3.410041563E-1
4.439133800E-1,3.232857585E-1,-5.480866134E-2,1.072746590E-1,3.450007586E-1
4.459134130E-1,3.232857585E-1,-7.191288471E-2,1.011660025E-1,3.462942458E-1
4.479131460E-1,3.324487507E-1,-8.229760081E-2,9.383562207E-2,3.551058869E-1
4.499128790E-1,3.379465342E-1,-8.657365292E-2,8.100745082E-2,3.581411236E-1
4.519126120E-1,3.385573924E-1,-8.596279472E-2,7.550966740E-2,3.573687450E-1
4.539123450E-1,3.452769220E-1,-8.779538423E-2,6.268148869E-2,3.617363009E-1
4.559120780E-1,3.538290262E-1,-8.290845901E-2,5.474024639E-2,3.675122950E-1
4.579118110E-1,3.574942350E-1,-8.046500385E-2,4.802072793E-2,3.695710152E-1
4.599116110E-1,3.648246229E-1,-8.046500385E-2,4.007947817E-2,3.757365924E-1
4.619114110E-1,3.727658689E-1,-7.985413820E-2,3.091650084E-2,3.824747135E-1
4.639111440E-1,3.770419061E-1,-7.924327254E-2,2.847304009E-2,3.863299228E-1
4.659108770E-1,3.862048984E-1,-8.351932466E-2,2.297525294E-2,3.957999032E-1
4.679106100E-1,3.886483312E-1,-9.695836902E-2,1.808833145E-2,4.009683758E-1
4.699103430E-1,3.910918236E-1,-1.122299954E-1,1.503400411E-2,4.071540343E-1
4.719100760E-1,3.935352862E-1,-1.470493227E-1,8.925352246E-3,4.202061241E-1
4.739098090E-1,3.886483312E-1,-1.971402615E-1,3.732386394E-4,4.357888793E-1
4.759096090E-1,3.868157566E-1,-2.160770893E-1,-5.124548450E-3,4.431049526E-1
4.779093420E-1,3.807070851E-1,-2.673897743E-1,-1.123320125E-2,4.653615378E-1
4.799090750E-1,3.697115183E-1,-3.205350339E-1,-1.734185405E-2,4.896223592E-1
4.819087410E-1,3.605485559E-1,-3.712368608E-1,-2.222877555E-2,5.179828051E-1
4.839084740E-1,3.507747054E-1,-3.950605989E-1,-2.589396760E-2,5.289482662E-1
4.859082070E-1,3.287835717E-1,-4.512601793E-1,-3.078088909E-2,5.591796219E-1
4.879079400E-1,3.129010499E-1,-4.818034768E-1,-3.444607928E-2,5.755242737E-1
4.899077400E-1,2.799143493E-1,-5.471660495E-1,-4.299819097E-2,6.161100333E-1
4.919075400E-1,2.402081043E-1,-6.180264354E-1,-5.277203768E-2,6.651627591E-1
4.939072730E-1,2.188278139E-1,-6.559000611E-1,-5.826982483E-2,6.938918322E-1
4.959070060E-1,1.766781211E-1,-7.255386710E-1,-7.231972367E-2,7.502344061E-1
4.979071720E-1,1.320849508E-1,-7.939556241E-1,-8.270443976E-2,8.091056740E-1
4.999069050E-1,1.107046679E-1,-8.275532126E-1,-9.064568579E-2,8.398312233E-1
5.019062710E-1,4.595294967E-2,-9.179612398E-1,-1.150802895E-1,9.262872041E-1
5.039060040E-1,2.518353052E-2,-9.423958659E-1,-1.211889386E-1,9.504898406E-1
5.059055040E-1,5.024977494E-3,-9.662196040E-1,-1.303519309E-1,9.749857432E-1
5.079053040E-1,-3.834645450E-2,-1.013256192E0,-1.474561393E-1,1.024647195E0
5.099050370E-1,-8.171788603E-2,-1.049297214E0,-1.608951837E-1,1.064701703E0
5.119047700E-1,-1.018764451E-1,-1.071899295E0,-1.694473028E-1,1.089981329E0
5.139045030E-1,-1.458587348E-1,-1.119546771E0,-1.853298098E-1,1.144118386E0
5.159042360E-1,-1.898410320E-1,-1.176968098E0,-1.981579661E-1,1.208536346E0
5.179039690E-1,-2.093887180E-1,-1.194683194E0,-2.085426748E-1,1.230691520E0
5.199037020E-1,-2.527601719E-1,-1.231335044E0,-2.201491147E-1,1.276142362E0
5.219035020E-1,-2.900229394E-1,-1.261267543E0,-2.366424650E-1,1.315640063E0
5.239032350E-1,-3.101814985E-1,-1.274095654E0,-2.415294051E-1,1.333367448E0
5.259029680E-1,-3.388921618E-1,-1.302195430E0,-2.561901510E-1,1.369742395E0
5.279027010E-1,-3.712680042E-1,-1.329073668E0,-2.696292102E-1,1.406050019E0
5.299024340E-1,-3.834853172E-1,-1.341290951E0,-2.745161057E-1,1.421788133E0
5.319021670E-1,-4.030330181E-1,-1.349843025E0,-2.855117023E-1,1.437368686E0
5.339019000E-1,-4.170829058E-1,-1.363281965E0,-2.922312021E-1,1.455298919E0
5.359016330E-1,-4.244132936E-1,-1.368168950E0,-2.940638065E-1,1.462356469E0
5.379005660E-1,-4.317436814E-1,-1.368779778E0,-3.001724482E-1,1.466309717E0
5.399002990E-1,-4.329653978E-1,-1.366947293E0,-3.026159406E-1,1.465462502E0
5.419009990E-1,-4.372414649E-1,-1.357784152E0,-3.068919778E-1,1.459088958E0
5.439007320E-1,-4.329653978E-1,-1.352286458E0,-3.068919778E-1,1.452694182E0
5.459007980E-1,-4.293001890E-1,-1.333349586E0,-3.087245822E-1,1.434374650E0
5.479005310E-1,-4.195263684E-1,-1.318078041E0,-3.081136942E-1,1.417133072E0
5.499002640E-1,-4.060873389E-1,-1.285702109E0,-3.136115074E-1,1.384300913E0
5.518999970E-1,-3.834853172E-1,-1.239887238E0,-3.166658282E-1,1.335911149E0
5.538997970E-1,-3.749331832E-1,-1.213619947E0,-3.191092908E-1,1.309686607E0
5.558995630E-1,-3.431681991E-1,-1.159253001E0,-3.276613951E-1,1.252594876E0
5.578993290E-1,-3.150684237E-1,-1.096333861E0,-3.356026709E-1,1.189052228E0
5.598990950E-1,-2.997967899E-1,-1.062125444E0,-3.356026709E-1,1.153524047E0
5.618988610E-1,-2.686426342E-1,-9.875999093E-1,-3.417113125E-1,1.079022274E0
5.638986270E-1,-2.356559336E-1,-9.179612398E-1,-3.478199542E-1,1.009537160E0
5.658983930E-1,-2.173299640E-1,-8.776441813E-1,-3.496525586E-1,9.694062791E-1
5.678981590E-1,-1.873975694E-1,-8.012859821E-1,-3.514851332E-1,8.948289630E-1
5.698979920E-1,-1.537999809E-1,-7.249278426E-1,-3.539285958E-1,8.212431199E-1
5.718977920E-1,-1.366957575E-1,-6.876650453E-1,-3.533177376E-1,7.851129653E-1
5.738975920E-1,-1.024873033E-1,-6.094743013E-1,-3.508742750E-1,7.106865189E-1
5.758973920E-1,-6.950058043E-2,-5.386139750E-1,-3.508742750E-1,6.465663938E-1
5.778971920E-1,-5.361808836E-2,-5.031837225E-1,-3.508742750E-1,6.157771633E-1
5.798969920E-1,-2.185309492E-2,-4.427081048E-1,-3.459873796E-1,5.622946653E-1
5.818967250E-1,9.301033802E-3,-3.797889650E-1,-3.423221707E-1,5.113811062E-1
5.838965910E-1,2.884872258E-2,-3.529108763E-1,-3.374352455E-1,4.891225616E-1
5.858964570E-1,5.755938590E-2,-3.003765047E-1,-3.282722831E-1,4.486667129E-1
5.878963230E-1,8.932437748E-2,-2.582267821E-1,-3.172767162E-1,4.187176018E-1
5.898961890E-1,1.027634218E-1,-2.374573648E-1,-3.117789030E-1,4.051572600E-1
5.918960550E-1,1.326958090E-1,-1.953076571E-1,-2.958963811E-1,3.785603347E-1
5.938959210E-1,1.595738828E-1,-1.562123001E-1,-2.794030309E-1,3.576760552E-1
5.958957870E-1,1.736237854E-1,-1.342211515E-1,-2.702400386E-1,3.481238498E-1
5.978965200E-1,1.986692697E-1,-9.451489896E-2,-2.500815094E-1,3.330815308E-1
5.998964530E-1,2.212712765E-1,-5.725212395E-2,-2.232034504E-1,3.194660604E-1
