"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.127681462E0,1.788002555E-3,-9.718865622E-4,-3.100324422E-2
2.139678427E0,-1.653795503E-2,-2.357389964E-2,-6.568633951E-3
2.151676892E0,-3.669650480E-2,-1.990870945E-2,1.542251464E-2
2.163675424E0,-4.830294847E-2,2.693304792E-3,2.214203216E-2
2.175674089E0,-3.669650480E-2,1.918666624E-2,1.175732352E-2
2.187672554E0,-1.653795503E-2,2.651705034E-2,-8.401229978E-3
2.199671485E0,1.177137368E-3,2.529531904E-2,-3.466843441E-2
2.211669883E0,1.400530711E-2,2.468445338E-2,-5.421612039E-2
2.223668348E0,8.507520892E-3,2.896051109E-2,-5.421612039E-2
2.235666946E0,-9.207571857E-3,1.796493493E-2,-4.322054982E-2
2.247665411E0,-4.097256437E-2,-1.685438305E-2,-1.206642110E-2
2.259663710E0,-5.685506016E-2,-1.380005665E-2,3.497020155E-2
2.271661808E0,-4.585948586E-2,-1.582751865E-3,7.223298401E-2
2.283660206E0,-1.104016788E-2,-9.523999877E-3,8.322855085E-2
2.295657636E0,3.599645570E-2,-1.582751865E-3,6.429173052E-2
2.307656599E0,7.692442834E-2,3.304170212E-3,2.580722421E-2
2.319656163E0,9.463951737E-2,-5.858808290E-3,-1.512074750E-2
2.331656261E0,8.730913699E-2,-1.441092230E-2,-4.260968417E-2
2.343656091E0,5.493327603E-2,-2.479563095E-2,-4.871833324E-2
2.353656290E0,2.377915196E-2,-2.418476716E-2,-3.589016572E-2
2.365656020E0,-1.592708938E-2,-1.929784380E-2,-2.292577177E-3
2.377655618E0,-3.791823983E-2,-1.746524870E-2,2.763981931E-2
2.389654848E0,-4.463775456E-2,-5.247943569E-3,4.107885435E-2
2.401653179E0,-3.791823983E-2,2.082439605E-3,4.107885435E-2
2.411653277E0,-2.081401087E-2,3.915035166E-3,3.069414571E-2
2.423651543E0,7.285790052E-3,-4.026212730E-3,1.603338122E-2
2.435650075E0,3.233126551E-2,2.498438698E-4,6.870401558E-3
2.447648540E0,4.271597415E-2,2.407358959E-2,1.983479597E-3
2.459647838E0,3.294213116E-2,2.590618283E-2,-5.957768764E-3
2.471645703E0,1.339444239E-2,1.246714871E-2,-1.145555638E-2
2.483644701E0,-3.098919289E-3,-6.469673477E-3,-1.267728582E-2
2.495643533E0,-1.837055013E-2,-3.090428375E-2,-3.514307784E-3
2.507642065E0,-2.142487653E-2,-2.846082300E-2,1.114645787E-2
2.519640530E0,-1.042930223E-2,-4.026212730E-3,8.092131466E-3
2.531639461E0,8.507520892E-3,1.124541834E-2,-1.084469073E-2
2.543637926E0,2.255742066E-2,1.918666624E-2,-3.894449398E-2
