"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.787810990E0,-2.130904645E-1,1.501210332E0,9.596253395E0
1.799809388E0,-2.130904645E-1,1.470084786E0,9.624984741E0
1.811808653E0,-2.106961906E-1,1.467690468E0,9.682447433E0
1.823807118E0,-2.035133541E-1,1.458113313E0,9.720755577E0
1.835805650E0,-1.939362586E-1,1.446141958E0,9.787795067E0
1.847804115E0,-1.819648892E-1,1.465296149E0,9.802161217E0
1.859802513E0,-1.604164094E-1,1.458113313E0,9.814132690E0
1.871800978E0,-1.819648892E-1,1.438959122E0,9.814132690E0
1.883799443E0,-1.891477108E-1,1.441353440E0,9.802161217E0
1.895797541E0,-2.154847383E-1,1.450930476E0,9.783006668E0
1.907795939E0,-2.466102988E-1,1.470084786E0,9.857229233E0
1.919794471E0,-2.657645047E-1,1.467690468E0,9.883566856E0
1.931792070E0,-2.442160249E-1,1.465296149E0,9.897932053E0
1.943790535E0,-2.490045726E-1,1.441353440E0,9.883566856E0
1.955788966E0,-2.083019018E-1,1.455719113E0,9.845257759E0
1.967787431E0,-1.723877788E-1,1.482056141E0,9.723150253E0
1.979785429E0,-1.221080124E-1,1.474873304E0,9.665687561E0
1.991784793E0,-1.292908341E-1,1.498816013E0,9.656110764E0
2.003783258E0,-1.364736706E-1,1.455719113E0,9.579493523E0
2.015782056E0,-1.675992310E-1,1.446141958E0,9.605830193E0
2.027780653E0,-1.723877788E-1,1.448536277E0,9.751881599E0
2.039779783E0,-1.675992310E-1,1.462901950E0,9.744698524E0
2.051777713E0,-1.580221355E-1,1.415016413E0,9.727938652E0
2.063776309E0,-1.316851079E-1,1.450930476E0,9.763853073E0
2.075774972E0,-4.788549617E-2,1.484450340E0,9.739910126E0
2.087774604E0,1.197137404E-2,1.503604531E0,9.715967178E0
2.099773069E0,-2.873129770E-2,1.496421814E0,9.703995705E0
2.111771834E0,-1.364736706E-1,1.489238977E0,9.675264359E0
2.123770299E0,-2.609759569E-1,1.494027495E0,9.636956215E0
2.135768297E0,-3.878725171E-1,1.477267504E0,9.629773140E0
2.147765729E0,-3.280156553E-1,1.505998850E0,9.646533012E0
2.159764194E0,-2.418217510E-1,1.508393168E0,9.694418907E0
2.171762859E0,-1.604164094E-1,1.532335877E0,9.744698524E0
2.183761391E0,-7.422251999E-2,1.541913033E0,9.787795067E0
2.195760322E0,-7.661679387E-2,1.503604531E0,9.785401344E0
